Direccion,Precio,UF,m2_Construidos,m2_totales,Habitaciones,Banos,Estacionamientos,Publi
"Macul, Mario Silva Ossa 3923",266395950,7650.0,94,340,4,2,0,03/12/2022
"Maipú, Mataquito 2239",3490,0.1,56,128,5,1,3,03/12/2022
"Santiago, Campomar 4",870575000,25000.0,0,0,9,6,0,02/12/2022
"Estación Central, Blanco Garcés 50",100081302,2874.0,72,72,3,2,0,02/12/2022
"Estación Central, Avenida Las Parcelas",135809700,3900.0,59,243,3,1,2,02/12/2022
"Santiago, Loreley 127",500000000,14358.326,209,434,5,4,0,01/12/2022
"Peñalolén, Peñalolén, Región Metropolitana",150000000,4307.498,130,175,5,4,3,01/12/2022
"Maipú, Av. Portales 1672",85000000,2440.915,55,121,2,1,2,01/12/2022
"San Miguel, Álvarez de Toledo 900",470110500,13500.0,237,594,6,5,2,01/12/2022
"Colina, Condominio Ayres de Chicureo",250029140,7180.0,120,420,3,3,2,01/12/2022
"Estación Central, Estación Central, Región Metropolitana",198000000,5685.897,180,120,7,3,2,01/12/2022
"Pedro Aguirre Cerda, Pje. 4 3276",62000000,1780.432,65,70,3,1,0,01/12/2022
"Estación Central, Manantiales",150000000,4307.498,143,160,4,3,1,30/11/2022
"El Bosque, Pje. Uno 158",80092900,2300.0,85,100,3,1,1,30/11/2022
"San Bernardo, Pasaje Turin Poniente",147997750,4250.0,85,155,4,2,2,30/11/2022
"San Bernardo, Las Águilas 1034",121880500,3500.0,95,130,5,2,1,30/11/2022
"Estación Central, Titan 4688",100000000,2871.665,80,100,3,1,2,30/11/2022
"Ñuñoa, Exequiel Fernández 1290",522345000,15000.0,200,330,4,2,4,30/11/2022
"Peñalolén, Quebrada de Macul",247243300,7100.0,112,196,4,3,2,29/11/2022
"Buin, O'higgins",90000000,2584.499,84,84,4,1,0,29/11/2022
"Conchalí, Av. Pedro Fontova 5389",3700,0.106,103,256,3,1,1,29/11/2022
"La Florida, La Florida, Región Metropolitana",85000000,2440.915,65,85,2,1,1,29/11/2022
"Puente Alto, Pasaje Isla Navarino",115055192,3304.0,102,86,3,2,1,29/11/2022
"Maipú, Las Águilas 571",95000000,2728.082,90,100,2,2,1,29/11/2022
"Pudahuel, Calle el Coihue",278235770,7990.0,135,400,3,3,3,29/11/2022
"Maipú, Av. Bosque Alto 3129",138943770,3990.0,76,118,3,3,2,29/11/2022
"Maipú, German Garcés",130000000,3733.165,100,152,3,2,1,28/11/2022
"Maipú, German Garcés",130000000,3733.165,82,144,5,1,2,28/11/2022
"Lampa, Chicauma 1231",102727850,2950.0,66,176,3,2,2,28/11/2022
"Puente Alto, Gabriela / Mexico",100290240,2880.0,68,130,3,1,1,28/11/2022
"Buin, Pastor Ponciano Yañez",146256600,4200.0,89,212,3,2,2,28/11/2022
"Santiago, Martín Wagner 120",152000000,4364.931,118,215,6,1,4,28/11/2022
"Melipilla, Mallarauco",350000000,10050.828,280,10000,5,3,2,28/11/2022
"Santiago, Rembrandt 572",95000000,2728.082,55,80,2,1,1,28/11/2022
"Maipú, Batalla de Rancagua",80000000,2297.332,47,86,2,1,1,28/11/2022
"Santiago, Brisas del Maipo",89495110,2570.0,60,81,2,2,1,28/11/2022
"Pudahuel, Av. El rodeo pte.",266535242,7654.0,130,286,3,3,3,28/11/2022
"Pudahuel, Avenida Las Flores",305920055,8785.0,145,454,3,3,2,28/11/2022
"Maipú, Condominio Las Catalpas 2",186303050,5350.0,130,130,4,4,1,28/11/2022
"Pudahuel, Los Almendros",302960100,8700.0,165,400,5,3,2,28/11/2022
"Pudahuel, La Esperanza",233314100,6700.0,110,190,3,3,1,28/11/2022
"Pudahuel, Efeso",354846370,10190.0,140,550,4,3,2,28/11/2022
"Til til, Tiltil, Región Metropolitana",155000000,4451.081,250,1000,7,3,8,27/11/2022
"Colina, Condominio peumayen",365641500,10500.0,124,424,3,3,4,27/11/2022
"La Florida, La Florida, Región Metropolitana",522345000,15000.0,389,890,16,12,3,27/11/2022
"Puente Alto, Tocornal Ex Pedro Duarte",75000000,2153.749,87,87,3,1,1,27/11/2022
"Colina, Los Arándanos",149738900,4300.0,84,194,4,3,2,27/11/2022
"Lampa, A 3 minutos de Lo Echevers y 5 minutos del Centro de Lampa.",95000000,2728.082,318,753,4,2,8,26/11/2022
"Lampa, Av. los Halcones 799, Larapinta, Lampa",185000000,5312.581,128,264,5,3,6,26/11/2022
"Ñuñoa, Natalio Stein",222867200,6400.0,56,175,3,1,0,26/11/2022
"La Florida, José Miguel Carrera",322112750,9250.0,173,850,7,3,3,26/11/2022
"Providencia, Avenida Salvador",580000000,16655.659,176,256,4,2,1,26/11/2022
"Buin, Pje. Oscar Lopez Rios 10",73128300,2100.0,80,100,3,1,2,25/11/2022
"Puente Alto, Villa Duraznal",60000000,1722.999,0,0,3,1,1,25/11/2022
"Santiago, Santo Tomás",46000000,1320.966,0,0,3,1,0,25/11/2022
"Puente Alto, La Primavera",125000000,3589.582,0,0,3,2,2,25/11/2022
"Maipú, El granizo",122000000,3503.432,113,108,5,2,2,25/11/2022
"San Bernardo, El molino",104120770,2990.0,70,116,4,2,2,25/11/2022
"Puente Alto, Avenida México",125000000,3589.582,154,154,3,2,2,25/11/2022
"San Miguel, Bartolo Soto",255949050,7350.0,113,130,3,3,1,25/11/2022
"El Monte, Av. Los Libertadores 791",140000000,4020.331,61,239,3,1,2,25/11/2022
"Conchalí, Seis Poniente",137000000,3934.181,156,192,6,2,1,25/11/2022
"Independencia, C. Nueva 5 1435",145000000,4163.915,184,216,4,2,1,24/11/2022
"Buin, Luis Leiva Pacheco",128148640,3680.0,67,163,3,2,1,24/11/2022
"San Bernardo, Villa Chena",115000000,3302.415,84,208,4,2,2,24/11/2022
"San Bernardo, Lomas de Mirasur",141311734,4058.0,0,0,4,2,2,24/11/2022
"Colina, Pasaje Gonzalo Rojas",75000000,2153.749,103,73,3,1,1,24/11/2022
"Colina, María de La Quintana",57000000,1636.849,84,68,3,1,1,24/11/2022
"Estación Central, Avenida 5 de Abril",94000000,2699.365,72,131,2,1,0,24/11/2022
"Colina, Mejillones 713",49900000,1432.961,91,72,5,2,1,24/11/2022
"Colina, Eduardo Anguita",55000000,1579.416,59,67,2,2,1,24/11/2022
"Santiago, Pasaje Tres",79000000,2268.616,200,200,3,1,2,23/11/2022
"Maipú, Sexta Sinfonía",127000000,3647.015,127,160,4,2,1,23/11/2022
"Ñuñoa, Marchant Pereira & Hernán Cortés",385000000,11055.911,250,375,8,4,5,23/11/2022
"Ñuñoa, Zañartu 2740",176900000,5079.976,100,124,4,2,1,23/11/2022
"Quilicura, Neff 505",100000000,2871.665,100,140,3,2,3,23/11/2022
"Puente Alto, Av. México 1200",95000000,2728.082,54,101,3,2,2,23/11/2022
"Macul, Jorge González Bastías 4215",110000000,3158.832,128,128,2,1,1,22/11/2022
"La Pintana, La Orquesta",45000000,1292.249,65,60,3,1,1,22/11/2022
"Talagante, El oliveto",490000000,14071.16,380,5001,5,4,3,22/11/2022
"San Miguel, Cuarta Avenida 1750",180000000,5168.998,110,250,5,2,4,22/11/2022
"Padre Hurtado, San Antonio de Padua",68000000,1952.732,45,85,2,1,2,22/11/2022
"Buin, Francisco Garate Gracia",120000000,3445.998,72,120,3,2,2,22/11/2022
"Santiago, Ingeniero Antonio Baeza",195000000,5599.747,125,140,3,2,1,22/11/2022
"Puente Alto, El Azulejo 01577",47000000,1349.683,51,61,3,1,1,22/11/2022
"La Florida, Manuel Bulnes 2257",310000000,8902.162,400,1000,5,3,4,22/11/2022
"Lampa, El Sendero Oriente",136506160,3920.0,101,135,3,3,3,22/11/2022
"Colina, Condominio Canquén Norte",616367100,17700.0,270,580,4,3,4,22/11/2022
"Maipú, René Olivares Becerra",100000000,2871.665,70,90,3,2,1,21/11/2022
"Maipú, René Olivares Becerra",97000000,2785.515,79,106,3,3,2,21/11/2022
"La Florida, Casa en pasaje cerrado, belleza, iluminación y mucho más, Feijoa 9600",189402297,5439.0,92,179,3,2,2,21/11/2022
"La Reina, Jesus Simon bolivar",1340685500,38500.0,310,1280,3,2,3,21/11/2022
"Quilicura, Valle Lo Campino",249000000,7150.447,178,216,5,3,1,21/11/2022
"Maipú, Tunquelen 1266",180000000,5168.998,132,140,4,3,3,21/11/2022
"La Florida, Juan B Justo 740",74000000,2125.032,76,60,3,1,1,21/11/2022
"Buin, Calle el bosque",560000000,16081.326,550,2000,6,3,3,21/11/2022
"Santiago, Cueto con Catedral",376088400,10800.0,214,260,4,3,2,21/11/2022
